Company,TypeName,Inches,Ram,Gpu,OpSys,Weight,ScreenType,PPI,SSD_GB,Cpu_Brand,Cpu_Family,Cpu_Clockspeed,target
Asus,Gaming,17.3,12,Nvidia GeForce GTX 1050,Windows,2.2,Standard,127.34,128,Intel,Core i5,2.5,1369.9
Lenovo,2 in 1 Convertible,14.0,8,Intel HD Graphics 520,Windows,1.8,IPS Panel,157.35,256,Intel,Core i7,2.5,1669.0
Other,Ultrabook,14.0,8,Intel HD Graphics 620,Windows,0.98,IPS Panel,157.35,512,Intel,Core i7,2.7,1899.0
Acer,Notebook,14.0,4,Intel HD Graphics 500,Windows,1.6,Standard,157.35,0,Intel,Celeron Quad Core,1.1,329.0
Toshiba,Notebook,15.6,8,Intel HD Graphics 620,Windows,2.0,Standard,100.45,128,Intel,Core i5,2.5,793.0
Asus,Gaming,17.3,8,Nvidia GeForce GTX 1050,Windows,3.0,Standard,127.34,128,Intel,Core i5,2.5,938.0
Lenovo,Notebook,14.0,8,Intel HD Graphics 520,Windows,1.8,Standard,157.35,256,Intel,Core i5,2.3,1191.0
Dell,Ultrabook,15.6,8,Intel UHD Graphics 620,Windows,1.88,IPS Panel,141.21,256,Intel,Core i5,1.6,1096.16
Lenovo,Ultrabook,14.0,8,Intel HD Graphics 620,Windows,1.32,IPS Panel,157.35,256,Intel,Core i5,2.5,1799.0
Dell,Notebook,15.6,8,AMD Radeon 530,Windows,2.2,Standard,141.21,256,Intel,Core i5,1.6,797.41
Dell,Notebook,15.6,8,Nvidia GeForce GTX 940MX,Windows,2.16,IPS Panel,141.21,512,Intel,Core i7,1.8,1262.0
MSI,Gaming,15.6,16,Nvidia GeForce GTX 1060,Windows,2.4,IPS Panel,141.21,256,Intel,Core i7,2.8,1799.0
HP,Notebook,13.3,4,Intel UHD Graphics 620,Windows,1.49,IPS Panel,165.63,0,Intel,Core i5,1.6,675.0
Toshiba,Notebook,15.6,8,Nvidia GeForce 930M,Windows,2.2,IPS Panel,141.21,256,Intel,Core i7,2.5,1043.0
HP,Notebook,15.6,6,AMD Radeon R5 M330,Windows,2.19,Standard,100.45,0,Intel,Core i7,2.5,764.0
Dell,Notebook,14.0,4,Intel HD Graphics 520,Windows,1.6,Standard,157.35,128,Intel,Core i3,2.0,735.87
Asus,Gaming,15.6,8,Nvidia GeForce GTX 1050,Windows,2.5,Standard,141.21,256,Intel,Core i7,2.8,999.0
Dell,Notebook,15.6,4,AMD Radeon R5 M430,Linux,2.2,Standard,141.21,256,Intel,Core i3,2.0,485.0
Dell,Notebook,15.6,8,Intel HD Graphics 620,Windows,1.9,Standard,141.21,256,Intel,Core i5,2.5,1116.99
Asus,Ultrabook,13.3,8,Intel HD Graphics 520,Windows,1.45,Standard,165.63,256,Intel,Core i7,2.5,1280.0
Acer,Notebook,15.6,4,Intel HD Graphics,Chrome OS,2.2,IPS Panel,141.21,0,Intel,Celeron Dual Core,1.5,359.0
HP,Ultrabook,12.5,4,Intel HD Graphics 520,Windows,1.26,Standard,176.23,0,Intel,Core i5,2.3,1579.0
HP,Ultrabook,12.5,4,Intel HD Graphics 520,Windows,1.26,Standard,125.37,256,Intel,Core i5,2.3,1244.0
Dell,Ultrabook,13.3,8,Intel UHD Graphics 620,Windows,1.23,Standard,276.05,256,Intel,Core i5,1.6,1869.0
Acer,Notebook,15.6,4,Nvidia GeForce GTX 940MX,Windows,2.23,Standard,141.21,256,Intel,Core i5,2.5,691.0
Lenovo,Notebook,17.3,6,Nvidia GeForce GTX 940M,Windows,2.8,Standard,106.11,0,Intel,Core i5,2.5,649.0
Lenovo,2 in 1 Convertible,14.0,4,Intel HD Graphics 520,Windows,1.8,IPS Panel,157.35,128,Intel,Core i7,2.5,638.0
Dell,Workstation,15.6,8,Nvidia Quadro M1200,Windows,2.0,IPS Panel,141.21,256,Intel,Core i7,2.7,2135.0
Dell,Notebook,15.6,16,AMD Radeon R7 M445,Linux,2.36,Standard,141.21,256,Intel,Core i7,2.7,899.0
Lenovo,Notebook,13.3,4,Intel HD Graphics 620,Windows,1.44,Standard,165.63,128,Intel,Core i5,2.5,881.0
Asus,Gaming,17.3,8,Nvidia GeForce GTX 960M,Windows,3.52,Standard,127.34,128,Intel,Core i7,2.6,1312.49
Lenovo,Notebook,15.6,4,Intel HD Graphics 505,No OS,2.2,Standard,100.45,0,Intel,Pentium Quad Core,1.1,359.99
Acer,Notebook,14.0,8,Intel HD Graphics 620,Windows,1.56,IPS Panel,157.35,256,Intel,Core i5,2.5,902.0
HP,Notebook,15.6,8,Intel HD Graphics 520,Windows,1.84,Standard,141.21,256,Intel,Core i7,2.5,1228.99
Apple,Ultrabook,13.3,8,Intel Iris Plus Graphics 650,Mac OS,1.37,IPS Panel Retina Display,226.98,512,Intel,Core i5,3.1,2040.0
Dell,Notebook,15.6,8,Intel HD Graphics 620,Windows,1.9,Standard,141.21,128,Intel,Core i5,2.5,945.0
Lenovo,Notebook,14.0,4,Intel HD Graphics 400,Chrome OS,1.5,Standard,111.94,0,Intel,Celeron Quad Core,1.6,325.0
Dell,Ultrabook,13.3,8,AMD Radeon 530,Windows,1.4,IPS Panel,165.63,256,Intel,Core i7,1.8,955.0
Asus,Ultrabook,14.0,8,Intel HD Graphics 620,Windows,1.25,Standard,157.35,256,Intel,Core i7,2.7,1049.0
Dell,Notebook,15.6,4,Intel HD Graphics 520,Linux,2.25,Standard,100.45,0,Intel,Core i3,2.0,359.0
Dell,Ultrabook,13.3,16,Intel UHD Graphics 620,Windows,1.2,Standard,276.05,512,Intel,Core i7,1.8,1869.0
HP,Notebook,15.6,4,Intel HD Graphics 520,Windows,2.07,Standard,141.21,0,Intel,Core i5,2.3,910.0
MSI,Gaming,15.6,8,Nvidia GeForce GTX 1050,Windows,2.2,Standard,141.21,256,Intel,Core i5,2.5,1027.74
Dell,Notebook,14.0,8,Nvidia GeForce GTX 930MX,Windows,1.64,Standard,157.35,256,Intel,Core i5,2.8,1179.0
Lenovo,Notebook,15.6,4,Intel HD Graphics 505,Windows,2.2,Standard,100.45,0,Intel,Pentium Quad Core,1.1,309.0
HP,Notebook,15.6,4,Intel HD Graphics 520,No OS,1.86,Standard,100.45,0,Intel,Core i3,2.0,364.9
Acer,Notebook,13.3,4,Intel HD Graphics 520,Windows,1.6,Standard,117.83,128,Intel,Core i5,2.3,655.0
Dell,Notebook,15.6,8,Intel UHD Graphics 620,Windows,2.02,Standard,141.21,128,Intel,Core i7,1.8,855.0
Acer,Notebook,15.6,4,AMD Radeon R5,Windows,2.1,Standard,100.45,0,AMD,A9-Series,3.0,395.0
HP,Notebook,15.6,8,Intel HD Graphics 620,Windows,2.04,Standard,141.21,0,Intel,Core i5,2.5,806.0
HP,Notebook,14.0,8,Intel HD Graphics 620,Windows,1.63,Standard,157.35,256,Intel,Core i5,1.6,860.0
